estacion,fecha,cantidad_pasos
alberdi,1/1/2016,5446
alberdi,1/2/2016,6927
alberdi,1/3/2016,6630
alberdi,1/4/2016,9835
alberdi,1/5/2016,9091
alberdi,1/6/2016,9013
alberdi,1/7/2016,9192
alberdi,1/8/2016,9500
alberdi,1/9/2016,7533
alberdi,1/10/2016,6216
alberdi,1/11/2016,9186
alberdi,1/12/2016,8983
alberdi,1/13/2016,9125
alberdi,1/14/2016,9440
alberdi,1/15/2016,9763
alberdi,1/16/2016,7578
alberdi,1/17/2016,6054
alberdi,1/18/2016,9207
alberdi,1/19/2016,9086
alberdi,1/20/2016,8901
alberdi,1/21/2016,9321
alberdi,1/22/2016,9506
alberdi,1/23/2016,6999
alberdi,1/24/2016,6178
alberdi,1/25/2016,9581
alberdi,1/26/2016,9073
alberdi,1/27/2016,9051
alberdi,1/28/2016,9185
alberdi,1/29/2016,9333
alberdi,1/30/2016,7791
alberdi,1/31/2016,6085
alberdi,2/1/2016,9035
alberdi,2/2/2016,8818
alberdi,2/3/2016,8858
alberdi,2/4/2016,9134
alberdi,2/5/2016,9176
alberdi,2/6/2016,7051
alberdi,2/7/2016,4629
alberdi,2/8/2016,5639
alberdi,2/9/2016,5991
alberdi,2/10/2016,9941
alberdi,2/11/2016,9842
alberdi,2/12/2016,9570
alberdi,2/13/2016,8129
alberdi,2/14/2016,7104
alberdi,2/15/2016,9386
alberdi,2/16/2016,9241
alberdi,2/17/2016,9010
alberdi,2/18/2016,9282
alberdi,2/19/2016,9326
alberdi,2/20/2016,8102
alberdi,2/21/2016,6443
alberdi,2/22/2016,9090
alberdi,2/23/2016,9248
alberdi,2/24/2016,9295
alberdi,2/25/2016,9604
alberdi,2/26/2016,10077
alberdi,2/27/2016,8355
alberdi,2/28/2016,6831
alberdi,2/29/2016,9130
alberdi,3/1/2016,9186
alberdi,3/2/2016,9468
alberdi,3/3/2016,9844
alberdi,3/4/2016,9675
alberdi,3/5/2016,8667
alberdi,3/6/2016,6450
alberdi,3/7/2016,9212
alberdi,3/8/2016,9302
alberdi,3/9/2016,9064
alberdi,3/10/2016,9575
alberdi,3/11/2016,10074
alberdi,3/12/2016,8613
alberdi,3/13/2016,6673
alberdi,3/14/2016,8968
alberdi,3/15/2016,9645
alberdi,3/16/2016,9618
alberdi,3/17/2016,9398
alberdi,3/18/2016,9688
alberdi,3/19/2016,8759
alberdi,3/20/2016,6517
alberdi,3/21/2016,9150
alberdi,3/22/2016,9725
alberdi,3/23/2016,10776
alberdi,3/24/2016,6480
alberdi,3/25/2016,4811
alberdi,3/26/2016,7267
alberdi,3/27/2016,7235
alberdi,3/28/2016,10132
alberdi,3/29/2016,9537
alberdi,3/30/2016,9733
alberdi,3/31/2016,9874
alberdi,4/1/2016,10039
alberdi,4/2/2016,7632
alberdi,4/3/2016,6329
alberdi,4/4/2016,8811
alberdi,4/5/2016,9425
alberdi,4/6/2016,9459
alberdi,4/7/2016,9908
alberdi,4/8/2016,10428
alberdi,4/9/2016,8680
alberdi,4/10/2016,6269
alberdi,4/11/2016,8791
alberdi,4/12/2016,9675
alberdi,4/13/2016,9186
alberdi,4/14/2016,9453
alberdi,4/15/2016,9340
alberdi,4/16/2016,8494
alberdi,4/17/2016,5815
alberdi,4/18/2016,8911
alberdi,4/19/2016,8709
alberdi,4/20/2016,9682
alberdi,4/21/2016,9584
alberdi,4/22/2016,10011
alberdi,4/23/2016,8702
alberdi,4/24/2016,6544
alberdi,4/25/2016,8200
alberdi,4/26/2016,9374
alberdi,4/27/2016,9672
alberdi,4/28/2016,10103
alberdi,4/29/2016,11012
alberdi,4/30/2016,9197
alberdi,5/1/2016,6092
alberdi,5/2/2016,8824
alberdi,5/3/2016,9200
alberdi,5/4/2016,9347
alberdi,5/5/2016,9318
alberdi,5/6/2016,10209
alberdi,5/7/2016,9419
alberdi,5/8/2016,6946
alberdi,5/9/2016,9033
alberdi,5/10/2016,9530
alberdi,5/11/2016,9447
alberdi,5/12/2016,10025
alberdi,5/13/2016,9947
alberdi,5/14/2016,8857
alberdi,5/15/2016,5846
alberdi,5/16/2016,8700
alberdi,5/17/2016,9283
alberdi,5/18/2016,10140
alberdi,5/19/2016,9673
alberdi,5/20/2016,10458
alberdi,5/21/2016,8651
alberdi,5/22/2016,6340
alberdi,5/23/2016,9017
alberdi,5/24/2016,9948
alberdi,5/25/2016,5706
alberdi,5/26/2016,9120
